content,device,like,rcount,ctime,avatar,level,sex,sign,uname,mid,oid,diag
"播放量低是正常的
虽然细，但这并不像一个系统教学，更像一个厨力党的盯帧分析，然而大部分人应该是冲着实战攻略来的。
并且，说的点太散，属于是在大量彩蛋中时不时出现少量干货，观众无法快速获得想要的攻略干货。
挺可惜的，如果耐心看完，视频中是藏着不少实用细节的，可是很少有人坚持看完。如果up能优化一下视频形式，相信能将更多细节传达给观众",,28,3,,https://i1.hdslb.com/bfs/face/bb20bd5e913a4a88174f753f93c45449a41c7b89.jpg,5,保密,这个人有点神秘，毕竟他至少写了点东西,玩个只因吧,382425520,236465733,原评论
好哒感谢建议！但是排版已经排了6次了，已经尽力做到系统化了，知识点确实太多，我看大部分UP也都挺乱的，芙芙的板真不好排[委屈],,0,0,,https://i1.hdslb.com/bfs/face/465103e3684e4105f1507e0433b8796120d7028b.jpg,6,女,"B站最牛看号UP不满意包退！
细节决定成败！一位非常细的全能UP！
没有弱的角色，只有弱的旅行者！
粉丝群看视频简介！",鹏鹏不是朋朋_,273991792,236465733,原评论
简单说就是企图把所有细节端上来，但对受众喜好和需求不明确，有些细是完全没必要的，也增加了自己的工作量，但看了那么多攻略，就他做了对轴手法，拉到这环节确实眼前一亮,,0,0,,https://i1.hdslb.com/bfs/face/2ddd4c76578eb58405b62a4997d429cdf34fc9d5.jpg,6,男,爱吃披萨,大鱼Darius,17509717,236465733,原评论
和我想说的一样。说的很中肯的建议,,0,0,,https://i0.hdslb.com/bfs/face/3f0abd5e77cba7d4641e5becdd115de4e60e1b9d.jpg,3,保密,,提瓦特三崩子,3493259290610601,236465733,原评论
"抱歉让大家久等了[哈欠]，个人良心制作没有团队，半个月才肝完，工作量太大了[灵魂出窍]，剪辑的条件也不是很好，笔记本电脑无法给大家带来很好的画质，光录音就配了1000+，素材更是2000+视频发的太晚了，芙芙卡池明天就要结束了，流量方面这次只能靠大家了[委屈][委屈][委屈]一定要[热词系列_三连]鸭！
      鹏鹏普通话不太好，希望大家理解，视频中配音的某些时候，鹏鹏发烧感冒加鼻炎，可能声音有大有小，本来想等好了再配音[委屈]，但是芙芙卡池马上就结束了，已经没时间了，希望大家谅解。其实中间已经准备放弃制作了，因为发的晚加生病，但是群里还是有很多水友以及B站私信，大家想要这一份攻略[坎公骑冠剑_吃鸡][坎公骑冠剑_吃鸡][坎公骑冠剑_吃鸡]，我想了一下，为了粉丝那就做完吧[奋斗]！流量不行，鹏鹏就复刻的时候再发一遍！
      舰长充电参演人员名单在视频最后，记得把视频看完呀，免费充电方法大家看视频简介即可！感谢大家的观看与支持！有什么建议或者问题大家可以私信或者评论，鹏鹏看见一定会回复的！[桃源_乖巧]",,105,4,,https://i1.hdslb.com/bfs/face/465103e3684e4105f1507e0433b8796120d7028b.jpg,6,女,"B站最牛看号UP不满意包退！
细节决定成败！一位非常细的全能UP！
没有弱的角色，只有弱的旅行者！
粉丝群看视频简介！",鹏鹏不是朋朋_,273991792,236465733,原评论
大家在看视频记得在弹幕设置里面，把高级弹幕打开！不然看不到鹏鹏补充的内容！[委屈],,0,0,,https://i1.hdslb.com/bfs/face/465103e3684e4105f1507e0433b8796120d7028b.jpg,6,女,"B站最牛看号UP不满意包退！
细节决定成败！一位非常细的全能UP！
没有弱的角色，只有弱的旅行者！
粉丝群看视频简介！",鹏鹏不是朋朋_,273991792,236465733,原评论
投币鼓励一下[doge],,0,0,,http://i0.hdslb.com/bfs/face/724da314de9fbadea94d2828002a1af9878941eb.jpg,6,保密,,青衣慕雪落红,383275212,236465733,原评论
这不是月月月月吗[doge],,0,0,,https://i0.hdslb.com/bfs/face/66beadc8b65c0b2d9574cbddfd16b5d7593afe6c.jpg,5,保密,这个人不神秘，但还是什么都没写,有数存焉,482236275,236465733,原评论
我有几个疑惑啊，龙王q倍率还是可以的，是不是后放会好一些呢，先手使用e秒接芙芙qe可以压不少充能，目前我零命水管水神这么操作能压到180单体boss稳定循环，这样双水生命就可以堆到四万了，芙芙qe和eq有很明显的差别嘛，我是手机党qe比较丝滑一点，直接点元素爆发图标嘛。还有就是万叶有必要开大招嘛，万叶本身增伤十秒减抗八秒（还是我记反了）但按照主播的轴来看，之后是夏洛蒂eq龙王两个重击，时间其实是大差不差的，不q一不用堆充能可以狂怼精通（以前跟雷神混充能不高）二不放动画可以缩短轴长。如果说是给小动物增伤就顶多在第二波前段的时候多增伤，这个提升大概又有多少呢。喜欢up的视频，希望有大佬可以解惑。目前配置00芙11龙,,3,2,,https://i0.hdslb.com/bfs/face/member/noface.jpg,4,保密,,-惊语-,1149213306,236465733,原评论
我就是这样玩的，那芙琴,,0,0,,https://i0.hdslb.com/bfs/face/b99456ebe86dac01fe83ca29047d73f03915d7ec.jpg,5,女,,FYTZSQBY,401710965,236465733,原评论
